81,81,81,Phobia,Drama,1980,John Huston,Gary Sherman,94,Borough Park Productions
82,82,82,Windows,Drama,1980,Gordon Willis,Barry Siegel,96,Mike Lobell Productions
83,83,83,Loving Couples,Comedy,1980,Jack Smight,Martin Donovan,97,Time Life Films
84,84,84,The King and the Mockingbird,Animation,1980,Paul Grimault,Hans Christian Andersen,83,Les Films Paul Grimault
85,85,85,"Oh, God! Book II",Comedy,1980,Gilbert Cates,Josh Greenfeld,94,Warner Bros.
86,86,86,"Those Lips, Those Eyes",Comedy,1980,Michael Pressman,David Shaber,105,Herb Jaffe
87,87,87,La Cage aux Folles II,Comedy,1980,Édouard Molinaro,Jean Poiret,102,Da.Ma. Cinematografica
88,88,88,The Gong Show Movie,Comedy,1980,Chuck Barris,Chuck Barris,89,Chuck Barris Productions
89,89,89,Gilda Live,Comedy,1980,Mike Nichols,Anne Beatts,96,Broadway Productions
90,90,90,Why Would I Lie?,Comedy,1980,Larry Peerce,Hollis Hodges,105,Metro-Goldwyn-Mayer (MGM)
91,91,91,First Family,Comedy,1980,Buck Henry,Buck Henry,97,F.F. Associates
92,92,92,Mantis Fist Fighter,Action,1980,Wing-Cho Yip,Hsin-Yi Chang,89,East Asia Film Company
93,93,93,Indiana Jones and the Raiders of the Lost Ark,Action,1981,Steven Spielberg,Lawrence Kasdan,115,Paramount Pictures
94,94,94,Body Heat,Crime,1981,Lawrence Kasdan,Lawrence Kasdan,113,The Ladd Company
95,95,95,An American Werewolf in London,Comedy,1981,John Landis,John Landis,97,Polygram Pictures
96,96,96,Escape from New York,Action,1981,John Carpenter,John Carpenter,99,AVCO Embassy Pictures
97,97,97,The Evil Dead,Horror,1981,Sam Raimi,Sam Raimi,85,Renaissance Pictures
98,98,98,Porky's,Comedy,1981,Bob Clark,Bob Clark,94,Astral Bellevue Pathé
99,99,99,Blow Out,Crime,1981,Brian De Palma,Brian De Palma,108,Filmways Pictures
100,100,100,Clash of the Titans,Action,1981,Desmond Davis,Beverley Cross,118,Charles H. Schneer Productions
101,101,101,Excalibur,Adventure,1981,John Boorman,Thomas Malory,140,Cinema '84
102,102,102,Mad Max 2,Action,1981,George Miller,Terry Hayes,96,Kennedy Miller Productions
103,103,103,Das Boot,Adventure,1981,Wolfgang Petersen,Wolfgang Petersen,149,Bavaria Film
104,104,104,Stripes,Comedy,1981,Ivan Reitman,Len Blum,106,Columbia Pictures
105,105,105,Possession,Drama,1981,Andrzej Zulawski,Andrzej Zulawski,124,Gaumont
106,106,106,The Cannonball Run,Action,1981,Hal Needham,Brock Yates,95,Golden Harvest Company
107,107,107,Thief,Action,1981,Michael Mann,Frank Hohimer,123,Mann/Caan Productions
108,108,108,Endless Love,Drama,1981,Franco Zeffirelli,Scott Spencer,116,PolyGram Filmed Entertainment
109,109,109,Time Bandits,Adventure,1981,Terry Gilliam,Michael Palin,110,HandMade Films
110,110,110,The Four Seasons,Comedy,1981,Alan Alda,Alan Alda,107,Universal Pictures
111,111,111,Friday the 13th Part 2,Horror,1981,Steve Miner,Ron Kurz,87,Georgetown Productions Inc.
112,112,112,Scanners,Horror,1981,David Cronenberg,David Cronenberg,103,Canadian Film Development Corporation (CFDC)
113,113,113,For Your Eyes Only,Action,1981,John Glen,Richard Maibaum,127,Eon Productions
114,114,114,Halloween II,Horror,1981,Rick Rosenthal,John Carpenter,92,Dino De Laurentiis Company
115,115,115,Taps,Drama,1981,Harold Becker,Darryl Ponicsan,126,Major Studio Partners
116,116,116,Reds,Biography,1981,Warren Beatty,Warren Beatty,195,Barclays Mercantile Industrial Finance
117,117,117,On Golden Pond,Drama,1981,Mark Rydell,Ernest Thompson,109,IPC Films
118,118,118,The Fox and the Hound,Animation,1981,Directors,Daniel P. Mannix,83,Walt Disney Animation Studios
119,119,119,Chariots of Fire,Biography,1981,Hugh Hudson,Colin Welland,125,Enigma Productions
120,120,120,Absence of Malice,Drama,1981,Sydney Pollack,Kurt Luedtke,116,Columbia Pictures
121,121,121,Tarzan the Ape Man,Adventure,1981,John Derek,Tom Rowe,115,Metro-Goldwyn-Mayer (MGM)
122,122,122,Victory,Drama,1981,John Huston,Yabo Yablonsky,116,Lorimar Film Entertainment
123,123,123,Arthur,Comedy,1981,Steve Gordon,Steve Gordon,97,Orion Pictures
124,124,124,My Dinner with Andre,Biography,1981,Louis Malle,Wallace Shawn,110,Saga Productions Inc.
125,125,125,Caveman,Comedy,1981,Carl Gottlieb,Rudy De Luca,91,Estudios Churubusco Azteca S.A.
126,126,126,Dead & Buried,Horror,1981,Gary Sherman,Jeff Millar,94,Aspen Productions (I)
127,127,127,History of the World: Part I,Comedy,1981,Mel Brooks,Mel Brooks,92,Brooksfilms
128,128,128,The Howling,Horror,1981,Joe Dante,Gary Brandner,91,Embassy Pictures
129,129,129,Dragonslayer,Action,1981,Matthew Robbins,Hal Barwood,109,Paramount Pictures
130,130,130,Cutter's Way,Crime,1981,Ivan Passer,Newton Thornburg,109,Gurian Entertainment
131,131,131,Quest for Fire,Adventure,1981,Jean-Jacques Annaud,Gérard Brach,100,International Cinema Corporation (ICC)
132,132,132,The Final Conflict,Horror,1981,Graham Baker,David Seltzer,108,Twentieth Century Fox
133,133,133,Mommie Dearest,Biography,1981,Frank Perry,Christina Crawford,129,Paramount Pictures
134,134,134,Private Lessons,Comedy,1981,Alan Myerson,Dan Greenburg,87,Barry & Enright Productions
135,135,135,The Postman Always Rings Twice,Crime,1981,Bob Rafelson,David Mamet,122,CIP Filmproduktion GmbH
136,136,136,Ragtime,Drama,1981,Milos Forman,E.L. Doctorow,155,Dino De Laurentiis Company
137,137,137,Deadly Blessing,Horror,1981,Wes Craven,Glenn M. Benest,100,PolyGram Filmed Entertainment
138,138,138,Eyewitness,Crime,1981,Peter Yates,Steve Tesich,103,Twentieth Century Fox
139,139,139,Gallipoli,Adventure,1981,Peter Weir,David Williamson,110,R&R Films
140,140,140,Outland,Action,1981,Peter Hyams,Peter Hyams,109,The Ladd Company
141,141,141,Southern Comfort,Action,1981,Walter Hill,Michael Kane,106,Cinema Group Ventures
142,142,142,S.O.B.,Comedy,1981,Blake Edwards,Blake Edwards,122,Artista Management
143,143,143,The Beyond,Horror,1981,Lucio Fulci,Dardano Sacchetti,87,Fulvia Film
144,144,144,Ghost Story,Drama,1981,John Irvin,Peter Straub,110,Universal Pictures
145,145,145,My Bloody Valentine,Horror,1981,George Mihalka,Stephen A. Miller,90,Canadian Film Development Corporation (CFDC)
146,146,146,The Funhouse,Horror,1981,Tobe Hooper,Lawrence J. Block,96,Universal Pictures
147,147,147,One from the Heart,Drama,1981,Francis Ford Coppola,Armyan Bernstein,107,Zoetrope Studios
148,148,148,The French Lieutenant's Woman,Drama,1981,Karel Reisz,John Fowles,124,Juniper Films
149,149,149,The Great Muppet Caper,Adventure,1981,Jim Henson,Tom Patchett,97,Henson Associates (HA)
150,150,150,True Confessions,Crime,1981,Ulu Grosbard,John Gregory Dunne,108,Chartoff-Winkler Productions
151,151,151,Looker,Drama,1981,Michael Crichton,Michael Crichton,93,The Ladd Company
152,152,152,Nighthawks,Action,1981,Bruce Malmuth,David Shaber,99,Universal Pictures
153,153,153,Nice Dreams,Comedy,1981,Tommy Chong,Tommy Chong,88,C & C Brown Production
154,154,154,Sharky's Machine,Action,1981,Burt Reynolds,William Diehl,122,Deliverance Productions
155,155,155,Neighbors,Comedy,1981,John G. Avildsen,Thomas Berger,94,Columbia Pictures
156,156,156,Puberty Blues,Comedy,1981,Bruce Beresford,Margaret Kelly,87,Limelight Productions (II)
157,157,157,Eye of the Needle,Romance,1981,Richard Marquand,Ken Follett,112,Kings Road Entertainment
158,158,158,Wolfen,Horror,1981,Michael Wadleigh,Whitley Strieber,115,Orion Pictures
159,159,159,Student Bodies,Comedy,1981,Mickey Rose,Mickey Rose,86,Allen Smithee Classic Films
160,160,160,Prince of the City,Crime,1981,Sidney Lumet,Jay Presson Allen,167,Orion Pictures
161,161,161,The Hand,Drama,1981,Oliver Stone,Marc Brandel,104,Orion Pictures
162,162,162,Continental Divide,Comedy,1981,Michael Apted,Lawrence Kasdan,103,Universal Pictures
163,163,163,Diva,Music,1981,Jean-Jacques Beineix,Daniel Odier,117,Les Films Galaxie
164,164,164,Venom,Horror,1981,Piers Haggard,Alan Scholefield,92,Morison Film Group
165,165,165,Fort Apache the Bronx,Crime,1981,Daniel Petrie,Heywood Gould,125,Time Life Films
166,166,166,Eyes of a Stranger,Horror,1981,Ken Wiederhorn,Ron Kurz,84,Georgetown Productions Inc.
167,167,167,Zorro: The Gay Blade,Action,1981,Peter Medak,Hal Dresner,93,Melvin Simon Productions
168,168,168,Under the Rainbow,Comedy,1981,Steve Rash,Fred Bauer,98,Innovisions
169,169,169,Carbon Copy,Comedy,1981,Michael Schultz,Stanley Shapiro,92,DeHaven/Shapiro Productions
170,170,170,The Incredible Shrinking Woman,Comedy,1981,Joel Schumacher,Richard Matheson,88,Lija Productions
171,171,171,The Night the Lights Went Out in Georgia,Drama,1981,Ron Maxwell,Bob Bonney,112,Viacom Enterprises
172,172,172,Quartet,Drama,1981,James Ivory,Jean Rhys,101,Merchant Ivory Productions
173,173,173,Graduation Day,Horror,1981,Herb Freed,Anne Marisse,96,Baughn/Freed Productions
174,174,174,Modern Problems,Comedy,1981,Ken Shapiro,Ken Shapiro,93,Twentieth Century Fox
175,175,175,Pennies from Heaven,Drama,1981,Herbert Ross,Dennis Potter,108,Metro-Goldwyn-Mayer (MGM)
176,176,176,American Pop,Animation,1981,Ralph Bakshi,Ronni Kern,96,Bakshi Productions
177,177,177,The Legend of the Lone Ranger,Action,1981,William A. Fraker,Ivan Goff,98,Eaves Movie Ranch
178,178,178,Sphinx,Adventure,1981,Franklin J. Schaffner,John Byrum,118,Orion Pictures
179,179,179,Night School,Horror,1981,Ken Hughes,Ruth Avergon,88,Lorimar Productions
180,180,180,An Eye for an Eye,Action,1981,Steve Carver,James Bruner,106,Adams Apple Film Company
181,181,181,Zoot Suit,Drama,1981,Luis Valdez,Luis Valdez,103,Universal Pictures
