360,Clint Eastwood
361,Catherine Deneuve
362,Michael Keaton
363,Roy Scheider
364,Richard Gere
365,Anthony Perkins
366,Burt Lancaster
367,Sean Penn
368,Meryl Streep
369,Tom Cruise
370,Scott Glenn
371,Matt Lattanzi
372,Barbra Streisand
373,Randy Norton
374,Tom Berenger
375,Graham Chapman
376,John Cleese
377,Oleg Yankovskiy
378,David Naughton
379,Jackie Gleason
380,Rick Hill
381,Dan Monahan
382,Jason Robards
383,Robert Duvall
384,Mariel Hemingway
385,William Hurt
386,Chuck Norris
387,Rodney Dangerfield
388,David Bowie
389,Tom Cruise
390,Peter Keleghan
391,Christopher Walken
392,Steve Martin
393,Cliff Gorman
394,Charles Bronson
395,Gene Hackman
396,Dan Aykroyd
397,Mary Beth McDonough
398,Burt Reynolds
399,Brooke Shields
400,John Travolta
401,Linda Blair
402,Peter Strauss
403,Tom Selleck
404,Charles Martin Smith
405,Kevin Kline
406,Don Francks
407,Lou Ferrigno
408,Michael Caine
409,Christopher Atkins
410,Nick Nolte
411,Tony Roberts
412,Jane Alexander
413,Rutger Hauer
414,Shô Kosugi
415,Woody Allen
416,Kathleen Quinlan
417,Mark Gregory
418,Mel Brooks
419,Gene Hackman
420,Faye Dunaway
421,Cheech Marin
422,Reb Brown
423,Peter Weller
424,David Niven
425,Max Gail
426,Michael Caine
427,Walter Matthau
428,Pia Zadora
429,Michael Douglas
430,Albert Finney
431,David Keith
432,Mary Steenburgen
433,Burt Reynolds
434,Cristina Raines
435,Chevy Chase
436,Kirk Douglas
437,Jason Robards
438,Jackie Gleason
439,Rosanna Arquette
440,Julie Christie
441,John Candy
442,Timothy Hutton
443,Bonnie Bedelia
444,Jamie Lee Curtis
445,Malcolm McDowell
446,Tommy Lee Jones
447,Paul Le Mat
448,Kelly Reno
449,Jeffrey Byron
450,Martin Yost
451,Linda Griffiths
452,David Niven
453,Dudley Moore
454,Robby Benson
455,Nastassja Kinski
456,Margot Kidder
457,Steve Sandor
458,Steve Guttenberg
459,Jon Voight
460,Dudley Moore
461,Ernest Borgnine
462,Martin Sheen
463,Jill Clayburgh
464,Peter Coyote
465,Dennis Hopper
466,Richard Pryor
467,Wings Hauser
468,Everett Silas
469,Harry Hamlin
470,Jan-Michael Vincent
471,Richard Beymer
472,Mark Pirro
473,James Aubrey
474,Steve Railsback
475,
476,Arnold Schwarzenegger
477,Kyle MacLachlan
478,Bill Murray
479,Ralph Macchio
480,Robert De Niro
481,Steve Guttenberg
482,Harrison Ford
483,Craig Wasson
484,Heather Langenkamp
485,F. Murray Abraham
486,Eddie Murphy
487,Patrick Swayze
488,Noah Hathaway
489,Kevin Bacon
490,Robert Carradine
491,Zach Galligan
492,Michael Douglas
493,Michael Paré
494,Molly Ringwald
495,Harry Dean Stanton
496,Rob Reiner
497,John Hurt
498,Val Kilmer
499,Arnold Schwarzenegger
500,Peter Horton
501,Lance Guest
502,Tom Hanks
503,John Getz
504,Robert Redford
505,Tom Hanks
506,Sumi Shimamoto
507,Erich Anderson
508,Grant Cramer
509,Rachel Ward
510,Helen Slater
511,Mel Gibson
512,Drew Barrymore
513,John Heard
514,Gene Wilder
515,Tom Selleck
516,Peter Weller
517,William Shatner
518,Harry Dean Stanton
519,Roy Scheider
520,Sam Waterston
521,Richard Gere
522,Jeff Bridges
523,Catherine Mary Stewart
524,Michael Caine
525,Dennis Quaid
526,Kathleen Turner
527,Michael Paré
528,Sally Field
529,Bo Derek
530,Burt Reynolds
531,John Lurie
532,Robert Urich
533,Judy Davis
534,Prince
535,Rob Lowe
536,Freddie Stuart
537,Tanya Roberts
538,Chuck Norris
539,Christopher Lambert
540,Jim Henson
541,Chris Penn
542,Robert De Niro
543,Tawny Kitaen
544,Lucinda Dickey
545,Matthew Modine
546,Sarah Patterson
547,Peter Liapis
548,Lenny von Dohlen
549,Henry Thomas
550,Sean Penn
551,Lilyan Chauvin
552,Eric Roberts
553,Steve Martin
554,Jamie Lee Curtis
555,Lisa Hartman
556,Aidan Quinn
557,Clint Eastwood
558,Sylvester Stallone
559,Matt Dillon
