380,457000,11919250,Aries Cinematográfica Argentina
381,6500000,33759266,Astral Bellevue Pathé
382,19000000,8400000,Walt Disney Productions
383,,8443124,Antron Media Production
384,12000000,6472990,The Ladd Company
385,15000000,15856028,Eagle Associates.
386,5000000,12232628,1818 Productions
387,,29309766,Easy Money Associates
388,,2306560,National Film Trustee Company
389,7000000,1246141,Tiberius Film Productions
390,800000,2082215,Millenium
391,15000000,10219460,JF Productions
392,,10353438,Aspen Film Society
393,3000000,17488564,Adams Apple Film Company
394,4520000,7175592,Cannon Films
395,14500000,30503151,Paramount Pictures
396,,10375893,Black Rhino Productions
397,250000,4319001,Hickmar Productions
398,,13000000,Universal Pictures
399,25000000,1402962,Cabal Film
400,14000000,23646952,Twentieth Century Fox
401,1250000,6149983,Heat GBR
402,14400000,16478265,Columbia Pictures
403,19000000,28445927,City Films
404,,29600000,Walt Disney Pictures
405,,694497,Universal Pictures
406,8000000,30379,Nelvana
407,2500000,10676194,Cannon Films Inc.
408,,14648076,Acorn Pictures
409,,5563663,
410,9500000,5696391,Cinema '84
411,6000000,6333135,De Laurentiis Entertainment Group (DEG)
412,,2044892,Paramount Pictures
413,6500000,6486797,Osterman Weekend Associates
414,700000,13168027,Cannon Films
415,,11798616,Jack Rollins & Charles H. Joffe Productions
416,,,Warner Bros.
417,,,Fulvia Film
418,9000000,13030214,Brooksfilms
419,,123572,Recorded Picture Company (RPC)
420,8000000,724912,Golan-Globus Productions
421,,15543710,Paramount Pictures
422,,2810199,Diamant Film
423,4000000,1080470,Warner Bros.
424,11000000,4491986,United Artists
425,8000000,16134627,RKO Pictures
426,11800000,5997566,World Film Services
427,12000000,14000000,Rastar Films
428,5000000,1223200,Harold Robbins International Company
429,,5555305,Twentieth Century Fox
430,,5310748,Columbia Pictures
431,,11787127,Paramount Pictures
432,,,Thorn EMI Screen Entertainment
433,19000000,10964740,Delphi Films
434,6000000,6670680,Universal Pictures
435,10000000,10369581,Warner Bros.
436,5000000,1262691,Universal Pictures
437,,17613720,Twentieth Century Fox
438,,6347072,Universal Pictures
439,3000000,1867792,Double Play
440,,1772889,Merchant Ivory Productions
441,,,Les Productions Mutuelles Ltée
442,,687475,Paramount Pictures
443,,272278,Aurora
444,550000,5269990,Millenium
445,5500000,1645711,D & P Productions
446,12000000,1963756,Phillips Whitehouse Productions
447,,1362303,EMI Films
448,,12049514,Zoetrope Studios
449,,5301085,Albert Band International Productions Inc.
450,220000,975414,Seventh Avenue Films
451,300000,1530839,Winwood Productions
452,,,Golden Harvest Company
453,10100000,10171304,The Ladd Company
454,8000000,3000000,Englander Productions
455,,1818910,United Artists
456,5000000,4304286,Walt Disney Productions
457,,1723487,Cinema Vehicle Services
458,,2443487,Paramount Pictures
